date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:43:37	172261/172261	---M-Z	200	added ('OK')	text/html	etag:%22d8ee6affe0730f59c45b23b624afd048%22	https://demo.hasthemes.com/airi-preview/airi/index-04.html	demo.hasthemes.com/airi-preview/airi/index-04.html	(from )
05:43:38	222/222	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	application/xml	date:Thu,%2015%20Apr%202021%2005:43:38%20GMT	https://demo.hasthemes.com/robots.txt		(from )
05:43:39	1150/1150	---M--	200	added ('OK')	application/octet-stream	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://demo.hasthemes.com/airi-preview/airi/assets/img/favicon.ico	demo.hasthemes.com/airi-preview/airi/assets/img/favicon.ico	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:39	4029/4029	---M--	200	added ('OK')	image/png	etag:%227676155efec287aaaa1b78ea9a79120d%22	https://demo.hasthemes.com/airi-preview/airi/assets/img/icon.png	demo.hasthemes.com/airi-preview/airi/assets/img/icon.png	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:41	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2204aca1f4cd3ec3c05a75a879f3be75a3%22	https://demo.hasthemes.com/airi-preview/airi/assets/css/bootstrap.min.css	demo.hasthemes.com/airi-preview/airi/assets/css/bootstrap.min.css	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:41	42781/42781	---M-Z	200	added ('OK')	text/css	etag:%22cf10e3424a78a090312025e4e7e90329%22	https://demo.hasthemes.com/airi-preview/airi/assets/css/font-awesome.min.css	demo.hasthemes.com/airi-preview/airi/assets/css/font-awesome.min.css	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:42	5427/5427	---M-Z	200	added ('OK')	text/css	etag:%2242722cd381822de13d590962eb5f94e0%22	https://demo.hasthemes.com/airi-preview/airi/assets/css/dl-icon.css	demo.hasthemes.com/airi-preview/airi/assets/css/dl-icon.css	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:44	99464/99464	---M-Z	200	added ('OK')	text/css	etag:%2293c9faa61fd46b1b11b4ee423c21af89%22	https://demo.hasthemes.com/airi-preview/airi/assets/css/plugins.css	demo.hasthemes.com/airi-preview/airi/assets/css/plugins.css	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:45	69316/69316	---M-Z	200	added ('OK')	text/css	etag:%22ef31de09c67c2949968c224b44e43809%22	https://demo.hasthemes.com/airi-preview/airi/assets/css/revoulation.css	demo.hasthemes.com/airi-preview/airi/assets/css/revoulation.css	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:46	15518/15518	---M-Z	200	added ('OK')	application/javascript	etag:%22edc6fe2e73a88de4444bb6d3c16998d5%22	https://demo.hasthemes.com/airi-preview/airi/assets/js/vendor/modernizr-2.8.3.min.js	demo.hasthemes.com/airi-preview/airi/assets/js/vendor/modernizr-2.8.3.min.js	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:46	477757/477757	---M-Z	200	added ('OK')	text/css	etag:%221447e00a97021517f9ef5c77d2ff6a9c%22	https://demo.hasthemes.com/airi-preview/airi/assets/css/main.css	demo.hasthemes.com/airi-preview/airi/assets/css/main.css	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:48	193552/193552	---M-Z	200	added ('OK')	text/html	etag:%22d4206153f15a333e7020329b032cfad0%22	https://demo.hasthemes.com/airi-preview/airi/index.html	demo.hasthemes.com/airi-preview/airi/index.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:49	247134/247134	---M-Z	200	added ('OK')	text/html	etag:%2276620366e320b17917d46e915f592679%22	https://demo.hasthemes.com/airi-preview/airi/index-02.html	demo.hasthemes.com/airi-preview/airi/index-02.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:50	137079/137079	---MCZ	200	added ('OK')	text/html	etag:%229c0990289d44a549302617467e55cd5b%22	https://demo.hasthemes.com/airi-preview/airi/index-03.html	demo.hasthemes.com/airi-preview/airi/index-03.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:51	605558/605558	---MCZ	200	added ('OK')	text/html	etag:%223bb1fb4e9efa0b97380c42d14caa53ca%22	https://demo.hasthemes.com/airi-preview/airi/index-05.html	demo.hasthemes.com/airi-preview/airi/index-05.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:52	146876/146876	---M-Z	200	added ('OK')	text/html	etag:%22550ba13f151046450fad8ccb6325bec5%22	https://demo.hasthemes.com/airi-preview/airi/index-06.html	demo.hasthemes.com/airi-preview/airi/index-06.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:53	686280/686280	---M-Z	200	added ('OK')	text/html	etag:%22aadabee11d71864024654c7fdea568b9%22	https://demo.hasthemes.com/airi-preview/airi/index-07.html	demo.hasthemes.com/airi-preview/airi/index-07.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:54	154248/154248	---MCZ	200	added ('OK')	text/html	etag:%225a942d1a33edd7bc23fadd3410e85189%22	https://demo.hasthemes.com/airi-preview/airi/index-08.html	demo.hasthemes.com/airi-preview/airi/index-08.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:55	349961/349961	---MCZ	200	added ('OK')	text/html	etag:%229540712288a32817cc1c7d4a92adb615%22	https://demo.hasthemes.com/airi-preview/airi/index-09.html	demo.hasthemes.com/airi-preview/airi/index-09.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:56	140761/140761	---M-Z	200	added ('OK')	text/html	etag:%22da4da45f157c90e7c9fc5d9cedcb4ae4%22	https://demo.hasthemes.com/airi-preview/airi/index-10.html	demo.hasthemes.com/airi-preview/airi/index-10.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:57	660430/660430	---M-Z	200	added ('OK')	text/html	etag:%222594bbc3656d4dd1155f6ab1bf25daeb%22	https://demo.hasthemes.com/airi-preview/airi/index-11.html	demo.hasthemes.com/airi-preview/airi/index-11.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:58	791538/791538	---M-Z	200	added ('OK')	text/html	etag:%22c1d4766eecc06fa4a991d061efb222d4%22	https://demo.hasthemes.com/airi-preview/airi/index-12.html	demo.hasthemes.com/airi-preview/airi/index-12.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:43:59	1418500/1418500	---MCZ	200	added ('OK')	text/html	etag:%227516836cf5345735b803eace95dda113%22	https://demo.hasthemes.com/airi-preview/airi/index-13.html	demo.hasthemes.com/airi-preview/airi/index-13.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:00	107344/107344	---MCZ	200	added ('OK')	text/html	etag:%22a63016b852c8dee3997b3898911c0f29%22	https://demo.hasthemes.com/airi-preview/airi/index-14.html	demo.hasthemes.com/airi-preview/airi/index-14.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:01	1401866/1401866	---MCZ	200	added ('OK')	text/html	etag:%2293b77f65efbd4456adeb3c1891816b65%22	https://demo.hasthemes.com/airi-preview/airi/index-15.html	demo.hasthemes.com/airi-preview/airi/index-15.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:02	660068/660068	---MCZ	200	added ('OK')	text/html	etag:%224484d0248db41b37eb4196bf4e17ba2b%22	https://demo.hasthemes.com/airi-preview/airi/index-16.html	demo.hasthemes.com/airi-preview/airi/index-16.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:02	401514/401514	---M-Z	200	added ('OK')	text/html	etag:%22616abcabf385a5b1a1cf598d5209d35a%22	https://demo.hasthemes.com/airi-preview/airi/index-17.html	demo.hasthemes.com/airi-preview/airi/index-17.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:04	106010/106010	---MCZ	200	added ('OK')	text/html	etag:%2297a69647533ee15c9574a099a7c898d4%22	https://demo.hasthemes.com/airi-preview/airi/index-18.html	demo.hasthemes.com/airi-preview/airi/index-18.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:05	134162/134162	---MCZ	200	added ('OK')	text/html	etag:%22654378a614d7391b8455873649c15571%22	https://demo.hasthemes.com/airi-preview/airi/index-19.html	demo.hasthemes.com/airi-preview/airi/index-19.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:06	701831/701831	---MCZ	200	added ('OK')	text/html	etag:%2213064f0137f48a506b9a8dfb35e1f570%22	https://demo.hasthemes.com/airi-preview/airi/index-20.html	demo.hasthemes.com/airi-preview/airi/index-20.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:07	211101/211101	---M-Z	200	added ('OK')	text/html	etag:%223a536979c24835d641e18dbaeb5e2b7a%22	https://demo.hasthemes.com/airi-preview/airi/shop-sidebar.html	demo.hasthemes.com/airi-preview/airi/shop-sidebar.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:08	201096/201096	---M-Z	200	added ('OK')	text/html	etag:%223b991dd12d8693df5d6727238893edc7%22	https://demo.hasthemes.com/airi-preview/airi/shop-fullwidth.html	demo.hasthemes.com/airi-preview/airi/shop-fullwidth.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:09	140938/140938	---MCZ	200	added ('OK')	text/html	etag:%2297cf9aacc082ecfed461429ac6f101a8%22	https://demo.hasthemes.com/airi-preview/airi/shop-two-column.html	demo.hasthemes.com/airi-preview/airi/shop-two-column.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:10	154183/154183	---MCZ	200	added ('OK')	text/html	etag:%2255e2e5eb8827fc69488d0b59cf477d62%22	https://demo.hasthemes.com/airi-preview/airi/shop-three-column.html	demo.hasthemes.com/airi-preview/airi/shop-three-column.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:11	201274/201274	---M-Z	200	added ('OK')	text/html	etag:%220bdfa5da55fe89acb8e9effea47cae3a%22	https://demo.hasthemes.com/airi-preview/airi/shop-no-gutter.html	demo.hasthemes.com/airi-preview/airi/shop-no-gutter.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:12	140882/140882	---MCZ	200	added ('OK')	text/html	etag:%2226b174a1af1a5a28ff08258b8859d9f6%22	https://demo.hasthemes.com/airi-preview/airi/shop-list.html	demo.hasthemes.com/airi-preview/airi/shop-list.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:13	163755/163755	---M-Z	200	added ('OK')	text/html	etag:%221a5c179d4ef1b0abceb0dc97ad75d5a3%22	https://demo.hasthemes.com/airi-preview/airi/product-details.html	demo.hasthemes.com/airi-preview/airi/product-details.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:14	159771/159771	---MCZ	200	added ('OK')	text/html	etag:%22f9666a534dab451e39c91c93a6117f94%22	https://demo.hasthemes.com/airi-preview/airi/product-details-02.html	demo.hasthemes.com/airi-preview/airi/product-details-02.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:15	154115/154115	---MCZ	200	added ('OK')	text/html	etag:%22de2cf219a8db1230659915fe74f21364%22	https://demo.hasthemes.com/airi-preview/airi/product-details-sticky.html	demo.hasthemes.com/airi-preview/airi/product-details-sticky.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:16	158153/158153	---MCZ	200	added ('OK')	text/html	etag:%2283e6b5dd1f8b3a267e6a779fdcb54ec6%22	https://demo.hasthemes.com/airi-preview/airi/product-details-gallery.html	demo.hasthemes.com/airi-preview/airi/product-details-gallery.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:17	176855/176855	---MCZ	200	added ('OK')	text/html	etag:%220ec02f9b99f5b409232bdcfebfadc2c0%22	https://demo.hasthemes.com/airi-preview/airi/product-details-sidebar.html	demo.hasthemes.com/airi-preview/airi/product-details-sidebar.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:18	163089/163089	---MCZ	200	added ('OK')	text/html	etag:%228baf17033dc996269a999d7fb91a83a1%22	https://demo.hasthemes.com/airi-preview/airi/product-details-grouped.html	demo.hasthemes.com/airi-preview/airi/product-details-grouped.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:19	159244/159244	---MCZ	200	added ('OK')	text/html	etag:%228fa110e43078d3f022b5e53788ff91df%22	https://demo.hasthemes.com/airi-preview/airi/product-details-affiliate.html	demo.hasthemes.com/airi-preview/airi/product-details-affiliate.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:20	150693/150693	---MCZ	200	added ('OK')	text/html	etag:%2241af340b4885482364f669096900dd3a%22	https://demo.hasthemes.com/airi-preview/airi/product-details-configurable.html	demo.hasthemes.com/airi-preview/airi/product-details-configurable.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:20	113019/113019	---M-Z	200	added ('OK')	text/html	etag:%229c5a1e99c9290b199da896b21abd0f38%22	https://demo.hasthemes.com/airi-preview/airi/my-account.html	demo.hasthemes.com/airi-preview/airi/my-account.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:22	122678/122678	---M-Z	200	added ('OK')	text/html	etag:%22ddc06ad478ce646a5ba9c9cb025cbfc2%22	https://demo.hasthemes.com/airi-preview/airi/cart.html	demo.hasthemes.com/airi-preview/airi/cart.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:23	129824/129824	---MCZ	200	added ('OK')	text/html	etag:%228a953b5f4371ef5487fc51c5afdbcd65%22	https://demo.hasthemes.com/airi-preview/airi/checkout.html	demo.hasthemes.com/airi-preview/airi/checkout.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:24	103778/103778	---MCZ	200	added ('OK')	text/html	etag:%22a92e8ca4e10c77dd00243fdcfa37f171%22	https://demo.hasthemes.com/airi-preview/airi/wishlist.html	demo.hasthemes.com/airi-preview/airi/wishlist.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:25	98642/98642	---MCZ	200	added ('OK')	text/html	etag:%227844149d8efdeb1f6554551757857c5d%22	https://demo.hasthemes.com/airi-preview/airi/order-tracking.html	demo.hasthemes.com/airi-preview/airi/order-tracking.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:26	104254/104254	---MCZ	200	added ('OK')	text/html	etag:%22cf9ed67ae8498cd765cd5c96d8e54189%22	https://demo.hasthemes.com/airi-preview/airi/compare.html	demo.hasthemes.com/airi-preview/airi/compare.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:27	102673/102673	---MCZ	200	added ('OK')	text/html	etag:%22c4fe04d999f4af9f8311ab5859c3a609%22	https://demo.hasthemes.com/airi-preview/airi/shop-collections.html	demo.hasthemes.com/airi-preview/airi/shop-collections.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:28	126203/126203	---MCZ	200	added ('OK')	text/html	etag:%2257f6fa4e52f3b988fdee7dab67099474%22	https://demo.hasthemes.com/airi-preview/airi/about-us.html	demo.hasthemes.com/airi-preview/airi/about-us.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:29	120544/120544	---MCZ	200	added ('OK')	text/html	etag:%221bf9ae75e8a335b2060658959e5125cd%22	https://demo.hasthemes.com/airi-preview/airi/team.html	demo.hasthemes.com/airi-preview/airi/team.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:29	110725/110725	---M-Z	200	added ('OK')	text/html	etag:%220c04e843c5cd94e8e6d1938ecf1f8af9%22	https://demo.hasthemes.com/airi-preview/airi/contact-us.html	demo.hasthemes.com/airi-preview/airi/contact-us.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:31	110949/110949	---MCZ	200	added ('OK')	text/html	etag:%22c2619cea31b6c50c4491afa13f8f5df3%22	https://demo.hasthemes.com/airi-preview/airi/contact-us-02.html	demo.hasthemes.com/airi-preview/airi/contact-us-02.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:32	89116/89116	---MCZ	200	added ('OK')	text/html	etag:%22102ff63fef2e1180ac1ef29d32f0e8ed%22	https://demo.hasthemes.com/airi-preview/airi/404.html	demo.hasthemes.com/airi-preview/airi/404.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:33	105062/105062	---MCZ	200	added ('OK')	text/html	etag:%229554684efc457ac3397bb217e278db38%22	https://demo.hasthemes.com/airi-preview/airi/faqs-page.html	demo.hasthemes.com/airi-preview/airi/faqs-page.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:34	5351/5351	---MCZ	200	added ('OK')	text/html	etag:%22b38797bee8e15ba8997c2032c0f8e662%22	https://demo.hasthemes.com/airi-preview/airi/coming-soon.html	demo.hasthemes.com/airi-preview/airi/coming-soon.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:35	122532/122532	---MCZ	200	added ('OK')	text/html	etag:%22a773992859fabb9cdb6c34bdc520f2a2%22	https://demo.hasthemes.com/airi-preview/airi/blog.html	demo.hasthemes.com/airi-preview/airi/blog.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:36	111648/111648	---MCZ	200	added ('OK')	text/html	etag:%222beb30e664349303c0fcbcc3e1394a1f%22	https://demo.hasthemes.com/airi-preview/airi/blog-02-columns.html	demo.hasthemes.com/airi-preview/airi/blog-02-columns.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:37	113452/113452	---MCZ	200	added ('OK')	text/html	etag:%228b79913630890d879498e223d8e16e54%22	https://demo.hasthemes.com/airi-preview/airi/blog-03-columns.html	demo.hasthemes.com/airi-preview/airi/blog-03-columns.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:38	113406/113406	---MCZ	200	added ('OK')	text/html	etag:%222a2c9f9660f428b952e09a6f544f87d7%22	https://demo.hasthemes.com/airi-preview/airi/blog-standard.html	demo.hasthemes.com/airi-preview/airi/blog-standard.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:39	111736/111736	---MCZ	200	added ('OK')	text/html	etag:%223e2571f67e4725cb4707a5292ea6b109%22	https://demo.hasthemes.com/airi-preview/airi/blog-no-sidebar.html	demo.hasthemes.com/airi-preview/airi/blog-no-sidebar.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:40	129847/129847	---MCZ	200	added ('OK')	text/html	etag:%22b761cdfe104b85840248c368789da71c%22	https://demo.hasthemes.com/airi-preview/airi/blog-masonary.html	demo.hasthemes.com/airi-preview/airi/blog-masonary.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:40	127065/127065	---M-Z	200	added ('OK')	text/html	etag:%22d8ccd06f7f98bee2be41a63c670d299f%22	https://demo.hasthemes.com/airi-preview/airi/single-post.html	demo.hasthemes.com/airi-preview/airi/single-post.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:41	134284/134284	---M-Z	200	added ('OK')	text/html	etag:%229102df763975f539dcca59692c8d7c1c%22	https://demo.hasthemes.com/airi-preview/airi/single-post-sidebar.html	demo.hasthemes.com/airi-preview/airi/single-post-sidebar.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
05:44:43	97263/97263	---MCZ	200	added ('OK')	text/html	etag:%2249839918d383d4364bb31fb8c32670c8%22	https://demo.hasthemes.com/airi-preview/airi/shop-instagram.html	demo.hasthemes.com/airi-preview/airi/shop-instagram.html	(from https://demo.hasthemes.com/airi-preview/airi/index-04.html)
